segment_id,project,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11
P-H_R00289,P-H,1,0,1,0,1,1,1,0,0,0,1
P-E_R00109,P-E,0,1,1,0,0,0,0,1,0,0,0
P-B_R06483,P-B,0,1,1,0,0,1,0,0,0,0,0
P-B_R07669,P-B,1,0,1,0,0,0,1,0,0,0,0
P-B_R01520,P-B,1,0,0,0,0,0,1,0,0,0,0
P-F_R00103,P-F,1,0,0,0,1,0,1,0,1,0,1
P-F_R00323,P-F,1,1,1,0,0,0,1,0,0,0,0
P-G_R00007,P-G,0,0,0,0,0,1,0,0,0,0,0
P-A_R00052,P-A,1,1,1,0,0,0,1,0,0,0,0
P-A_R00477,P-A,1,1,1,0,1,1,0,0,0,0,0
P-D_R00243,P-D,1,1,1,0,0,1,0,0,0,0,0
P-A_R01210,P-A,0,0,0,0,0,1,0,0,0,0,0
P-B_R00345,P-B,0,1,1,0,0,0,0,1,0,0,0
P-B_R03484,P-B,1,0,1,0,0,1,0,0,0,0,1
P-B_R04375,P-B,0,1,0,0,0,1,0,1,0,0,0
P-B_R04334,P-B,0,1,0,0,0,0,1,1,0,0,0
P-B_R09764,P-B,0,1,1,0,0,0,0,1,0,0,0
P-B_R07745,P-B,1,1,1,0,1,1,0,0,0,0,1
P-B_R03924,P-B,0,1,1,0,0,0,0,1,0,0,1
P-B_R09198,P-B,1,1,1,0,0,0,0,0,0,0,0
P-B_R09642,P-B,0,0,1,0,1,0,0,0,0,0,0
P-A_R00055,P-A,0,1,1,0,0,1,0,0,0,0,0
P-B_R03682,P-B,1,0,0,0,1,1,1,0,0,0,0
P-F_R01030,P-F,0,1,1,0,0,1,0,0,0,0,1
P-B_R03947,P-B,0,1,1,0,0,1,0,0,0,0,1
P-H_R00052,P-H,1,0,0,0,1,0,1,0,0,0,0
P-A_R00066,P-A,0,1,1,0,0,1,0,0,0,0,0
P-D_R00493,P-D,0,0,1,0,1,1,1,0,0,0,0
P-B_R03471,P-B,1,0,0,0,1,0,1,0,1,1,0
P-B_R09939,P-B,0,0,0,0,0,0,0,1,0,0,0
P-G_R00019,P-G,1,0,0,0,0,1,0,0,0,0,0
P-B_R01797,P-B,0,0,0,0,0,1,0,0,0,0,0
P-F_R00381,P-F,0,1,1,0,0,1,0,0,0,0,1
P-B_R04890,P-B,0,1,1,0,0,1,0,1,0,0,0
P-F_R00120,P-F,1,1,1,0,0,1,0,0,0,0,0
P-B_R07788,P-B,0,0,1,0,1,0,0,0,0,0,0
P-H_R00203,P-H,0,1,1,0,0,1,0,0,0,0,0
P-B_R02046,P-B,0,1,1,0,0,0,0,0,0,0,0
